DATE,CPILFENS_PC1
2006-02-01,2.05514
2006-03-01,2.09268
2006-04-01,2.28970
2006-05-01,2.44024
2006-06-01,2.64207
2006-07-01,2.68924
2006-08-01,2.83582
2006-09-01,2.93095
2006-10-01,2.71873
2006-11-01,2.61987
2006-12-01,2.57298
2007-01-01,2.66979
2007-02-01,2.70727
2007-03-01,2.45144
2007-04-01,2.34112
2007-05-01,2.24404
2007-06-01,2.22147
2007-07-01,2.20951
2007-08-01,2.13401
2007-09-01,2.13707
2007-10-01,2.17421
2007-11-01,2.32900
2007-12-01,2.43898
2008-01-01,2.46576
2008-02-01,2.27342
2008-03-01,2.35467
2008-04-01,2.25761
2008-05-01,2.31271
2008-06-01,2.41312
2008-07-01,2.50954
2008-08-01,2.54132
2008-09-01,2.47321
2008-10-01,2.21602
2008-11-01,2.00297
2008-12-01,1.76308
2009-01-01,1.68013
2009-02-01,1.78570
2009-03-01,1.75598
2009-04-01,1.89901
2009-05-01,1.83474
2009-06-01,1.73043
2009-07-01,1.52977
2009-08-01,1.44127
2009-09-01,1.51018
2009-10-01,1.70857
2009-11-01,1.70474
2009-12-01,1.81629
2010-01-01,1.55362
2010-02-01,1.34001
2010-03-01,1.10685
2010-04-01,0.92314
2010-05-01,0.94237
2010-06-01,0.90385
2010-07-01,0.86984
2010-08-01,0.89027
2010-09-01,0.80404
2010-10-01,0.61070
2010-11-01,0.76820
2010-12-01,0.80445
2011-01-01,0.95008
2011-02-01,1.09201
2011-03-01,1.19018
2011-04-01,1.33474
2011-05-01,1.51045
2011-06-01,1.63876
2011-07-01,1.76536
2011-08-01,1.95124
2011-09-01,1.97470
2011-10-01,2.10015
2011-11-01,2.15331
2011-12-01,2.22954
2012-01-01,2.27746
2012-02-01,2.17657
2012-03-01,2.25535
2012-04-01,2.31351
2012-05-01,2.25712
2012-06-01,2.21796
2012-07-01,2.10025
2012-08-01,1.91346
2012-09-01,1.98463
2012-10-01,1.99918
2012-11-01,1.94129
2012-12-01,1.89336
2013-01-01,1.92530
2013-02-01,2.00426
2013-03-01,1.88734
2013-04-01,1.71520
2013-05-01,1.68117
2013-06-01,1.63608
2013-07-01,1.69601
2013-08-01,1.76458
2013-09-01,1.73412
2013-10-01,1.68024
2013-11-01,1.72098
2013-12-01,1.71707
2014-01-01,1.62125
2014-02-01,1.56734
2014-03-01,1.65671
2014-04-01,1.83205
2014-05-01,1.95621
2014-06-01,1.93332
2014-07-01,1.85892
2014-08-01,1.72374
2014-09-01,1.72884
2014-10-01,1.80769
2014-11-01,1.70249
2014-12-01,1.60638
2015-01-01,1.64891
2015-02-01,1.69777
2015-03-01,1.75339
2015-04-01,1.80751
2015-05-01,1.71828
2015-06-01,1.76228
2015-07-01,1.80484
2015-08-01,1.82756
2015-09-01,1.89164
2015-10-01,1.90967
2015-11-01,2.01757
2015-12-01,2.09570
2016-01-01,2.20692
2016-02-01,2.33128
2016-03-01,2.19483
2016-04-01,2.14638
2016-05-01,2.24063
2016-06-01,2.24465
2016-07-01,2.18944
2016-08-01,2.31897
2016-09-01,2.20744
2016-10-01,2.14480
2016-11-01,2.11083
2016-12-01,2.19666
2017-01-01,2.27172
2017-02-01,2.22362
2017-03-01,2.00196
2017-04-01,1.88265
2017-05-01,1.73343
2017-06-01,1.70303
